"","Date","Settlement","Observed_quantity_cassava","Observed_price_cassava","Observed_quantity_dodo","Observed_price_dodo","Observed_quantity_fish","Observed_price_fish","Observed_quantity_firewood","Observed_price_firewood","Observed_quantity_charcoal","Observed_price_charcoal","Country"
"107","2019-11","Palorinya",2,1000,0.8,1000,0.4,5000,NA,NA,NA,NA,"Uganda"
"108","2019-12","Rwamwanja",1.5,2000,0.5,1000,0.3,10000,4,2000,0.6,1000,"Uganda"
"109","2019-12","Bidibidi",1.2,1000,0.45,1000,0.52,5000,NA,NA,1.1,1000,"Uganda"
"110","2019-12","Bidibidi",2.3,1000,0.6,1000,0.4,5000,NA,NA,NA,NA,"Uganda"
"111","2019-12","Bidibidi",1.3,1000,0.37,1000,0.2,2000,NA,NA,NA,NA,"Uganda"
"112","2019-12","Bidibidi",1.4,1000,0.43,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"113","2019-12","Arua/Rhino Camp",4.5,1000,0.6,600,NA,NA,NA,NA,NA,NA,"Uganda"
"114","2019-12","Arua/Rhino Camp",1.9,2000,0.4,500,NA,NA,NA,NA,NA,NA,"Uganda"
"115","2019-12","Adjumani",1.3,1000,0.4,2000,0.4,15000,NA,NA,NA,NA,"Uganda"
"116","2019-12","Adjumani",1.5,1000,0.5,3000,0.4,18000,NA,NA,NA,NA,"Uganda"
"117","2019-12","Adjumani",1.3,1000,0.5,2000,0.4,16000,NA,NA,NA,NA,"Uganda"
"118","2019-12","Kyaka II",1.5,1000,NA,NA,0.4,5000,NA,NA,1.2,1000,"Uganda"
"119","2019-12","Palabek",3.3,1000,0.9,1000,NA,NA,12,2000,1000,2000,"Uganda"
"120","2019-12","Palabek",3.3,1000,0.7,1000,0.3,7000,NA,NA,1.5,1000,"Uganda"
"121","2019-12","Palabek",3.3,1000,0.6,1000,0.4,8000,NA,NA,1.6,1000,"Uganda"
"122","2019-12","Kyangwali",1,500,1,1200,1,10000,NA,NA,NA,NA,"Uganda"
"123","2019-12","Kyangwali",1,450,1,1400,1,12000,NA,NA,NA,NA,"Uganda"
"124","2019-12","Kyangwali",1,500,1,1300,1,14000,NA,NA,NA,NA,"Uganda"
"125","2019-12","Kyaka II",1.5,2000,NA,NA,0.25,5000,NA,NA,0.3,1000,"Uganda"
"126","2019-12","Kyaka II",2,2000,NA,NA,0.2,5000,NA,NA,0.5,1000,"Uganda"
"127","2019-12","Imvepi",NA,NA,1.23,800,NA,5000,NA,NA,NA,NA,"Uganda"
"128","2019-12","Imvepi",NA,NA,0.98,600,NA,4000,NA,NA,1.8,500,"Uganda"
"129","2019-12","Imvepi",NA,NA,0.668,400,0.53,5000,NA,1000,4.5,1000,"Uganda"
"130","2019-12","Adjumani",1.3,1000,0.6,3000,0.4,18000,NA,NA,NA,NA,"Uganda"
"131","2019-12","Palabek",1.6,1000,0.7,1000,0.2,7000,NA,NA,NA,NA,"Uganda"
"132","2019-12","Palabek",3.3,1000,0.9,1000,0.2,7500,NA,NA,NA,NA,"Uganda"
"133","2019-12","Imvepi",1,1000,1,1000,NA,NA,1,1000,2,1000,"Uganda"
"134","2019-12","Kyaka II",1.8,1000,NA,NA,0.4,5000,NA,NA,1.2,1000,"Uganda"
"135","2019-12","Adjumani",1.6,1000,0.7,3000,0.4,18000,NA,NA,NA,NA,"Uganda"
"136","2019-12","Adjumani",1.4,1000,0.7,3500,0.4,18000,NA,NA,NA,NA,"Uganda"
"137","2019-12","Adjumani",1.1,1000,0.7,3500,0.4,18000,NA,NA,NA,NA,"Uganda"
"138","2019-12","Nakivale",2.4,2000,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"139","2019-12","Nakivale",2.5,2000,1.8,2000,0.395,6000,NA,NA,NA,NA,"Uganda"
"140","2019-12","Nakivale",2.4,2000,1.8,2000,0.38,6000,NA,NA,NA,NA,"Uganda"
"141","2019-12","Oruchinga",2.6,2000,0.8,2000,0.35,6000,NA,NA,NA,NA,"Uganda"
"142","2019-12","Oruchinga",2,2000,1,2000,0.365,6000,NA,NA,1,1000,"Uganda"
"143","2019-12","Oruchinga",2.1,2000,1.5,2000,0.328,6000,NA,NA,NA,NA,"Uganda"
"144","2019-12","Kyangwali",1,450,1,1600,1,26600,1,500,1,800,"Uganda"
"145","2019-12","Kyangwali",1,220,1,1250,1,26600,1,200,1,1100,"Uganda"
"146","2019-12","Kyangwali",1,1,1,1250,1,28500,1,400,1,1250,"Uganda"
"147","2019-12","Bidibidi",NA,NA,1,1000,1,4000,NA,NA,1000,NA,"Uganda"
"148","2019-12","Bidibidi",NA,NA,1,1000,1,4000,NA,NA,1000,NA,"Uganda"
"149","2019-12","Bidibidi",NA,NA,1,1000,1,5000,NA,NA,1000,NA,"Uganda"
"150","2019-12","Bidibidi",NA,NA,0.3,400,0.3,5000,NA,NA,1.5,500,"Uganda"
"151","2019-12","Palorinya",3.8,2000,0.9,1000,0.3,5000,5,1000,1.5,1000,"Uganda"
"152","2019-12","Palorinya",3.6,2000,0.9,1000,0.35,5000,5,1000,1.5,1000,"Uganda"
"153","2019-12","Palorinya",3.5,2000,0.8,1000,0.3,5000,NA,NA,1.5,1000,"Uganda"
"154","2019-12","Bidibidi",NA,NA,0.9,1000,0.82,4000,NA,NA,1.1,1000,"Uganda"
"155","2019-12","Bidibidi",2.05,1000,0.9,1000,0.75,5000,6,2000,NA,NA,"Uganda"
"156","2019-12","Bidibidi",NA,NA,0.89,1000,0.8,5000,7,2000,1,1000,"Uganda"
"157","2019-12","Imvepi",1,1000,1,1500,NA,NA,1,1000,1,1000,"Uganda"
"158","2019-12","Bidibidi",NA,NA,0.89,1000,0.86,5000,NA,NA,1.5,500,"Uganda"
"159","2019-12","Bidibidi",2.1,1000,0.86,1000,0.75,5000,6.05,2000,3.5,500,"Uganda"
"160","2019-12","Bidibidi",2.5,1000,0.85,1000,0.8,5000,5.2,2000,1.96,500,"Uganda"
"161","2019-12","Bidibidi",2.1,1000,0.85,1000,0.78,5000,4.5,2000,1.5,500,"Uganda"
"162","2019-12","Bidibidi",2.1,1000,0.9,1000,0.95,5000,3,2000,1.8,500,"Uganda"
"163","2019-12","Palabek",3.1,1000,0.7,1000,0.3,6500,NA,NA,NA,NA,"Uganda"
"164","2019-12","Palabek",3.3,1000,0.6,1000,0.2,6000,NA,NA,NA,NA,"Uganda"
"165","2019-12","Palabek",3,1000,0.7,1000,0.4,6000,NA,NA,1.8,1000,"Uganda"
"166","2019-12","Palabek",3,1000,0.7,1000,0.2,5000,NA,NA,NA,NA,"Uganda"
"167","2019-12","Palabek",NA,NA,0.6,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"168","2019-12","Palabek",3,1000,0.6,1000,NA,NA,10.1,2000,1.5,1000,"Uganda"
"169","2019-12","Palabek",NA,NA,0.4,1000,0.3,6000,NA,NA,NA,NA,"Uganda"
"170","2019-12","Palabek",NA,NA,0.4,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"171","2019-12","Palabek",3.1,1000,0.6,1000,0.3,6000,10.5,2000,0.9,1000,"Uganda"
"172","2019-12","Imvepi",1,1000,1,2000,0.5,5000,1,1500,1,1000,"Uganda"
"173","2019-12","Imvepi",1,1000,1,1600,1,20000,NA,NA,1,1000,"Uganda"
"174","2019-12","Koboko/Lobule",1.5,1000,1.2,1000,0.4,10000,6,1000,1,500,"Uganda"
"175","2019-7","Palabek",1.6,1000,0.6,1000,0.3,6000,NA,NA,NA,NA,"Uganda"
"176","2020-1","Bidibidi",1.95,1000,0.85,1000,0.75,5000,NA,NA,NA,NA,"Uganda"
"177","2020-1","Bidibidi",1.5,1000,0.79,1000,0.8,5000,NA,NA,NA,NA,"Uganda"
"178","2020-1","Bidibidi",1.6,1000,0.75,1000,0.76,5000,NA,NA,NA,NA,"Uganda"
"179","2020-1","Bidibidi",2,1000,0.9,1000,0.85,5000,NA,NA,NA,NA,"Uganda"
"180","2020-1","Imvepi",NA,NA,NA,NA,0.4,5000,NA,NA,NA,NA,"Uganda"
"181","2020-1","Imvepi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"182","2020-1","Imvepi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"183","2020-1","Kyangwali",1,450,1,1600,1,20000,NA,NA,NA,NA,"Uganda"
"184","2020-1","Kyangwali",1,450,1,1850,1,23000,NA,NA,NA,NA,"Uganda"
"185","2020-1","Kyangwali",1,350,1,1700,1,22000,NA,NA,NA,NA,"Uganda"
"186","2020-1","Palorinya",3.3,2000,0.9,1000,0.45,5000,NA,NA,NA,NA,"Uganda"
"187","2020-1","Palorinya",1.7,1000,0.95,1000,0.4,5000,NA,NA,NA,NA,"Uganda"
"188","2020-1","Palorinya",3.5,2000,0.85,1000,0.45,5000,NA,NA,NA,NA,"Uganda"
"189","2020-1","Kyaka II",1,1000,0.3,500,0.2,5000,NA,NA,NA,NA,"Uganda"
"190","2020-1","Palabek",3.1,1000,0.6,1000,0.3,6000,NA,NA,NA,NA,"Uganda"
"191","2020-1","Palabek",3.3,1000,0.6,1000,0.2,6000,NA,NA,NA,NA,"Uganda"
"192","2020-1","Palabek",NA,NA,0.5,1000,0.2,6000,NA,NA,NA,NA,"Uganda"
"193","2020-1","Palabek",NA,NA,0.5,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"194","2020-1","Palabek",3,1000,0.5,1000,0.2,5000,NA,NA,NA,NA,"Uganda"
"195","2020-1","Palabek",2.9,1000,0.6,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"196","2020-1","Rwamwanja",1.2,2000,NA,NA,0.1,3000,NA,NA,NA,NA,"Uganda"
"197","2020-1","Kyangwali",1,300,1,1800,1,23000,NA,NA,NA,NA,"Uganda"
"198","2020-1","Kyangwali",1,350,1,1700,1,23500,NA,NA,NA,NA,"Uganda"
"199","2020-1","Kyangwali",1,450,1,1850,1,20000,NA,NA,NA,NA,"Uganda"
"200","2020-1","Palabek",3,1000,0.6,1000,0.7,6000,NA,NA,NA,NA,"Uganda"
"201","2020-1","Palabek",2.9,1000,0.5,1000,0.5,5000,NA,NA,NA,NA,"Uganda"
"202","2020-1","Palabek",3,1000,0.6,1000,0.3,6000,NA,NA,NA,NA,"Uganda"
"203","2020-1","Kyaka II",1.5,1000,NA,NA,0.4,500,NA,NA,NA,NA,"Uganda"
"204","2020-1","Bidibidi",1,1000,NA,NA,1,5000,NA,NA,NA,NA,"Uganda"
"205","2020-1","Bidibidi",1,500,NA,NA,0.25,5000,NA,NA,NA,NA,"Uganda"
"206","2020-1","Bidibidi",1,1000,0.75,1000,0.65,5000,NA,NA,NA,NA,"Uganda"
"207","2020-1","Bidibidi",2,1000,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"208","2020-1","Bidibidi",2.5,1000,0.75,1000,0.7,5000,NA,NA,NA,NA,"Uganda"
"209","2020-1","Bidibidi",1.35,1000,0.8,1000,0.65,5000,NA,NA,NA,NA,"Uganda"
"210","2020-1","Bidibidi",2.1,1000,0.85,1000,0.5,5000,NA,NA,NA,NA,"Uganda"
"211","2020-1","Adjumani",1.7,2000,0.6,2500,0.4,14000,NA,NA,NA,NA,"Uganda"
"212","2020-1","Adjumani",1.5,2000,0.6,3000,0.4,15000,NA,NA,NA,NA,"Uganda"
"213","2020-1","Adjumani",1.4,2000,0.6,3500,0.4,16000,NA,NA,NA,NA,"Uganda"
"214","2020-1","Arua/Rhino Camp",NA,NA,1,600,1,5000,NA,NA,NA,NA,"Uganda"
"215","2020-1","Arua/Rhino Camp",NA,NA,1,600,1,2500,NA,NA,NA,NA,"Uganda"
"216","2020-1","Arua/Rhino Camp",1,1000,1,600,1,8000,NA,NA,NA,NA,"Uganda"
"217","2020-1","Imvepi",NA,NA,0.66,400,NA,NA,NA,NA,NA,NA,"Uganda"
"218","2020-1","Imvepi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"219","2020-1","Rwamwanja",2.1,1000,NA,NA,0.2,5000,NA,NA,NA,NA,"Uganda"
"220","2020-1","Kyaka II",1.2,1000,NA,NA,0.3,5000,NA,NA,NA,NA,"Uganda"
"221","2020-1","Kyangwali",1,200,1,2500,1,25700,NA,NA,NA,NA,"Uganda"
"222","2020-1","Kyangwali",1,200,1,2000,1,15000,NA,NA,NA,NA,"Uganda"
"223","2020-1","Palabek",3,1000,0.5,1000,0.2,5000,NA,NA,NA,NA,"Uganda"
"224","2020-1","Palabek",2.4,1000,NA,NA,0.2,5000,NA,NA,NA,NA,"Uganda"
"225","2020-1","Palabek",3,1000,0.5,1000,0.2,5000,NA,NA,NA,NA,"Uganda"
"226","2020-1","Palabek",NA,NA,NA,NA,0.2,5000,NA,NA,NA,NA,"Uganda"
"227","2020-1","Palabek",3,1000,0.4,1000,0.3,6000,NA,NA,NA,NA,"Uganda"
"228","2020-1","Palabek",2.8,1000,NA,NA,0.2,6000,NA,NA,NA,NA,"Uganda"
"229","2020-1","Bidibidi",2.01,1000,0.4,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"230","2020-1","Bidibidi",NA,NA,0.3,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"231","2020-1","Bidibidi",2.5,1000,0.3,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"232","2020-1","Bidibidi",NA,NA,0.4,1000,0.3,1000,NA,NA,NA,NA,"Uganda"
"233","2020-1","Nakivale",1,1400,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"234","2020-1","Nakivale",1,1000,1.8,2000,NA,NA,NA,NA,NA,NA,"Uganda"
"235","2020-1","Nakivale",1,1000,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"236","2020-1","Oruchinga",1,1000,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"237","2020-1","Oruchinga",1,1000,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"238","2020-1","Oruchinga",1,1000,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"239","2020-1","Adjumani",1.4,2000,0.7,3000,0.4,13000,NA,NA,NA,NA,"Uganda"
"240","2020-1","Adjumani",1.1,1000,0.7,5000,0.4,14000,NA,NA,NA,NA,"Uganda"
"241","2020-1","Adjumani",1,1000,0.7,5000,0.4,15000,NA,NA,NA,NA,"Uganda"
"242","2020-1","Palorinya",NA,NA,0.2,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"243","2020-1","Palorinya",NA,NA,0.2,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"244","2020-1","Palorinya",NA,NA,0.2,1000,0.1,5000,NA,NA,NA,NA,"Uganda"
"245","2020-1","Kyangwali",1,200,1,1800,1,23300,NA,NA,NA,NA,"Uganda"
"246","2020-1","Bidibidi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"247","2020-12","Kiryandongo",3,1000,0.3,1000,0.5,10000,6,2000,0.3,1000,"Uganda"
"248","2020-2","Bidibidi",NA,NA,0.4,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"249","2020-2","Bidibidi",NA,NA,0.3,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"250","2020-2","Bidibidi",NA,NA,0.3,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"251","2020-2","Bidibidi",NA,NA,0.3,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"252","2020-2","Palabek",3,1000,0.5,1000,0.2,6000,NA,NA,NA,NA,"Uganda"
"253","2020-2","Palabek",3.1,1000,0.5,1000,0.2,6000,NA,NA,NA,NA,"Uganda"
"254","2020-2","Palabek",3,1000,0.6,1000,0.3,6500,NA,NA,NA,NA,"Uganda"
"255","2020-2","Palorinya",1,2000,0.2,1000,0.4,5000,NA,NA,NA,NA,"Uganda"
"256","2020-2","Palorinya",0.5,2000,0.2,1000,0.2,4000,NA,NA,NA,NA,"Uganda"
"257","2020-2","Rwamwanja",2.5,2000,NA,NA,0.2,500,NA,NA,NA,NA,"Uganda"
"258","2020-2","Bidibidi",NA,NA,0.4,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"259","2020-2","Bidibidi",NA,NA,0.3,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
