Year,Month,Settlement,Observed_quantity_cassava,Observed_price_cassava,Observed_quantity_dodo,Observed_price_dodo,Observed_quantity_fish,Observed_price_fish,Observed_quantity_firewood,Observed_price_firewood,Observed_quantity_charcoal,Observed_price_charcoal
2019,December,Bidibidi,2.1,1000,0.85,1000,0.78,5000,4.5,2000,1.5,500
2019,December,Bidibidi,2.1,1000,0.9,1000,0.95,5000,3,2000,1.8,500
2020,January,Bidibidi,1.95,1000,0.85,1000,0.75,5000,,,,
2020,January,Bidibidi,1.5,1000,0.79,1000,0.8,5000,,,,
2020,January,Bidibidi,1.6,1000,0.75,1000,0.76,5000,,,,
2020,January,Bidibidi,2,1000,0.9,1000,0.85,5000,,,,
2020,January,Imvepi,,,,,0.4,5000,,,,
2020,January,Imvepi,,,,,,,,,,
2020,January,Imvepi,,,,,,,,,,
2020,January,Kyangwali,1,450,1,1600,1,20000,,,,
2020,January,Kyangwali,1,450,1,1850,1,23000,,,,
2020,January,Kyangwali,1,350,1,1700,1,22000,,,,
2020,January,Palorinya,3.3,2000,0.9,1000,0.45,5000,,,,
2020,January,Palorinya,1.7,1000,0.95,1000,0.4,5000,,,,
2020,January,Palorinya,3.5,2000,0.85,1000,0.45,5000,,,,
2020,January,Kyaka II,1,1000,0.3,500,0.2,5000,,,,
2019,December,Palabek,3.1,1000,0.7,1000,0.3,6500,,,,
2019,December,Palabek,3.3,1000,0.6,1000,0.2,6000,,,,
2019,December,Palabek,3,1000,0.7,1000,0.4,6000,0,0,1.8,1000
2020,January,Palabek,3.1,1000,0.6,1000,0.3,6000,,,,
2020,January,Palabek,3.3,1000,0.6,1000,0.2,6000,,,,
2019,December,Palabek,3,1000,0.7,1000,0.2,5000,,,,
2019,December,Palabek,0,0,0.6,1000,0,0,,,,
2019,December,Palabek,3,1000,0.6,1000,0,0,10.1,2000,1.5,1000
2020,January,Palabek,0,0,0.5,1000,0.2,6000,,,,
2020,January,Palabek,0,0,0.5,1000,0,0,,,,
2019,December,Palabek,0,0,0.4,1000,0.3,6000,,,,
2019,December,Palabek,0,0,0.4,1000,0,0,,,,
2019,December,Palabek,3.1,1000,0.6,1000,0.3,6000,10.5,2000,0.9,1000
2020,January,Palabek,3,1000,0.5,1000,0.2,5000,,,,
2020,January,Palabek,2.9,1000,0.6,1000,0,0,,,,
2020,January,Rwamwanja,1.2,2000,,,0.1,3000,,,,
2020,January,Kyangwali,1,300,1,1800,1,23000,,,,
2020,January,Kyangwali,1,350,1,1700,1,23500,,,,
2020,January,Kyangwali,1,450,1,1850,1,20000,,,,
2019,December,Imvepi,1,1000,1,2000,0.5,5000,1,1500,1,1000
2020,January,Palabek,3,1000,0.6,1000,0.7,6000,,,,
2020,January,Palabek,2.9,1000,0.5,1000,0.5,5000,,,,
2020,January,Palabek,3,1000,0.6,1000,0.3,6000,,,,
2020,January,Kyaka II,1.5,1000,,,0.4,500,,,,
2020,January,Bidibidi,1,1000,0,0,1,5000,,,,
2020,January,Bidibidi,1,500,0,0,0.25,5000,,,,
2020,January,Bidibidi,1,1000,0.75,1000,0.65,5000,,,,
2020,January,Bidibidi,2,1000,0,0,0,0,,,,
2020,January,Bidibidi,2.5,1000,0.75,1000,0.7,5000,,,,
2020,January,Bidibidi,1.35,1000,0.8,1000,0.65,5000,,,,
2020,January,Bidibidi,2.1,1000,0.85,1000,0.5,5000,,,,
2020,January,Adjumani,1.7,2000,0.6,2500,0.4,14000,,,,
2020,January,Adjumani,1.5,2000,0.6,3000,0.4,15000,,,,
2020,January,Adjumani,1.4,2000,0.6,3500,0.4,16000,,,,
2020,January,Arua/Rhino Camp,0,0,1,600,1,5000,,,,
2020,January,Arua/Rhino Camp,,,1,600,1,2500,,,,
2020,January,Arua/Rhino Camp,1,1000,1,600,1,8000,,,,
2020,January,Imvepi,,,0.66,400,,,,,,
2020,January,Imvepi,,,,,,,,,,
2020,January,Rwamwanja,2.1,1000,,,0.2,5000,,,,
2020,January,Kyaka II,1.2,1000,0,0,0.3,5000,,,,
2020,January,Kyangwali,1,200,1,2500,1,25700,,,,
2020,January,Kyangwali,1,200,1,2000,1,15000,,,,
2020,January,Palabek,3,1000,0.5,1000,0.2,5000,,,,
2020,January,Palabek,2.4,1000,0,0,0.2,5000,,,,
2020,January,Palabek,3,1000,0.5,1000,0.2,5000,,,,
